Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Adult Social Care,Professional fees,12.03.2018,5100966236,£590.00,Redacted Personal Information
Manchester City Council,Adult Social Care,Professional fees,12.03.2018,5100966143,£525.00,Randstad Education
Manchester City Council,Adult Social Care,Professional fees,12.03.2018,5100966144,£525.00,Randstad Education
Manchester City Council,Adult Social Care,Professional fees,12.03.2018,5100966146,£525.00,Randstad Education
Manchester City Council,Adult Social Care,Professional fees,12.03.2018,5100966147,£525.00,Randstad Education
Manchester City Council,Adult Social Care,Professional fees,12.03.2018,5100966149,£525.00,Randstad Education
Manchester City Council,Adult Social Care,Professional fees,12.03.2018,5100966151,£525.00,Randstad Education
Manchester City Council,Adult Social Care,Professional fees,12.03.2018,5100966152,£525.00,Randstad Education
Manchester City Council,Adult Social Care,Professional fees,12.03.2018,5100966153,£525.00,Randstad Education
Manchester City Council,Adult Social Care,Professional fees,12.03.2018,5100966154,£525.00,Randstad Education
Manchester City Council,Adult Social Care,Professional fees,12.03.2018,5100966162,£525.00,Randstad Education
Manchester City Council,Adult Social Care,Professional fees,12.03.2018,5100966165,£525.00,Randstad Education
Manchester City Council,Adult Social Care,Professional fees,12.03.2018,5100966167,£525.00,Randstad Education
Manchester City Council,Adult Social Care,Professional fees,12.03.2018,5100966169,£525.00,Randstad Education
Manchester City Council,Adult Social Care,Professional fees,12.03.2018,5100966203,£525.00,Randstad Education
Manchester City Council,Adult Social Care,Professional fees,12.03.2018,5100966206,£525.00,Randstad Education
Manchester City Council,Adult Social Care,Professional fees,12.03.2018,5100966209,£525.00,Randstad Education
Manchester City Council,Adult Social Care,Professional fees,12.03.2018,5100966215,£525.00,Randstad Education
Manchester City Council,Adult Social Care,Subsistence and Conference Expenses,12.03.2018,5100966029,"£1,000.00",Salford City Council
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,12.03.2018,5100966222,"£12,378.50",Manchester Mind
Manchester City Council,Adult Social Care,Licences Purchase,12.03.2018,5100965972,"£213,558.58",Capita Business Services Ltd
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,12.03.2018,5100965854,"£49,193.26",Cromwood Ltd
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,12.03.2018,5100965986,"£16,888.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,12.03.2018,5100965849,"£4,704.96",K L Properties
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,12.03.2018,5100966199,"£20,000.00",Wythenshawe Community Housing Group
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,12.03.2018,5100965090,"£4,708.00",Greater Manchester Youth
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,12.03.2018,5100965475,"£2,000.00",Remedi
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,12.03.2018,5100966179,"£1,500.00",Afro Carribean Care Group
Manchester City Council,Adult Social Care,Payments for services,12.03.2018,5100965374,"£62,784.83",ABL Health Ltd
Manchester City Council,Adult Social Care,Payments for services,12.03.2018,5100966104,"£25,694.07",The Together Trust
Manchester City Council,Adult Social Care,Payments for services,12.03.2018,5100966103,"£25,197.12",The Together Trust
Manchester City Council,Adult Social Care,Payments for services,12.03.2018,5100965874,"£5,503.20",Enhance EHC Ltd
Manchester City Council,Adult Social Care,Payments for services,12.03.2018,5100966105,"£4,818.60",The Together Trust
Manchester City Council,Adult Social Care,Payments for services,12.03.2018,5100965910,"£3,105.00",Chaigeley Education Foundation
Manchester City Council,Adult Social Care,Payments for services,12.03.2018,5100965359,"£2,364.47",Jump Space Ltd
Manchester City Council,Adult Social Care,Payments for services,12.03.2018,5100966106,"£2,335.00",The Together Trust
Manchester City Council,Adult Social Care,Payments for services,12.03.2018,5100966118,"£1,204.65",The Together Trust
Manchester City Council,Adult Social Care,Payments for services,12.03.2018,5100965367,£715.00,The Skills Company
Manchester City Council,Adult Social Care,Supported Accommodation,12.03.2018,5100965664,"£8,018.08",Manchester Working Ltd
Manchester City Council,Adult Social Care,Carer Support Payments ,12.03.2018,5100965791,"£29,224.04",Carewatch Care Service
Manchester City Council,Adult Social Care,Personal needs of client,12.03.2018,5100965880,"£2,284.00",Newlyn Healthcare Limited
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,12.03.2018,5100965834,"£41,584.38",ENGIE Regeneration Ltd
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,12.03.2018,5100965834,"£35,103.02",ENGIE Regeneration Ltd
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,12.03.2018,5100965834,"£1,041.36",ENGIE Regeneration Ltd
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,12.03.2018,5100965834,£990.93,ENGIE Regeneration Ltd
Manchester City Council,Corporate Services,Professional fees,12.03.2018,5100966137,"£15,725.00",Turner & Townsend Project
Manchester City Council,Corporate Services,Professional fees,12.03.2018,5100963973,"£12,880.00",Turner & Townsend Project
Manchester City Council,Corporate Services,Professional fees,12.03.2018,5100966081,"£11,385.00",Mace Ltd
Manchester City Council,Corporate Services,Professional fees,12.03.2018,5100965724,"£10,149.80",Turner & Townsend Cost
Manchester City Council,Corporate Services,Professional fees,12.03.2018,5100965726,"£8,400.00",Turner & Townsend Cost
Manchester City Council,Corporate Services,Professional fees,12.03.2018,5100965715,"£8,400.00",Turner & Townsend Cost
Manchester City Council,Corporate Services,Professional fees,12.03.2018,5100965719,"£8,092.00",Turner & Townsend Cost
Manchester City Council,Corporate Services,Professional fees,12.03.2018,5100965711,"£6,800.00",Mindtree Ltd
Manchester City Council,Corporate Services,Professional fees,12.03.2018,5100965902,"£6,300.00",Mace Ltd
Manchester City Council,Corporate Services,Professional fees,12.03.2018,5100965721,"£6,127.50",Turner & Townsend Cost
Manchester City Council,Corporate Services,Professional fees,12.03.2018,5100965717,"£6,127.50",Turner & Townsend Cost
Manchester City Council,Corporate Services,Professional fees,12.03.2018,5100965407,"£1,400.00",Rider Levett Bucknall UK Ltd
Manchester City Council,Corporate Services,Professional fees,12.03.2018,5100965080,£750.00,Edmond Shipway
Manchester City Council,Corporate Services,Professional fees,12.03.2018,5100965478,£650.00,Naismiths Ltd
Manchester City Council,Corporate Services,I T Provision,12.03.2018,5100965676,"£65,000.00",Northgate Public Services (UK) Ltd
Manchester City Council,Corporate Services,I T Provision,12.03.2018,5100965674,"£1,262.96",Northgate Public Services (UK) Ltd
Manchester City Council,Corporate Services,Heart of Manchester Bid,12.03.2018,5100965283,"£40,000.00",Heart of Manchester BID Co Ltd
Manchester City Council,Corporate Services,Bank Charges,12.03.2018,1905967587,"£16,142.38",Capita Business Services Ltd
Manchester City Council,Corporate Services,Bank Charges,12.03.2018,1905967586,"£15,764.38",Capita Business Services Ltd
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,12.03.2018,5100966097,"£28,500.00",Bruntwood Estates Alpha
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,12.03.2018,5100966034,"£7,313.14",Bruntwood Estates Alpha
Manchester City Council,Housing Revenue Account,Northwards Management Fee,12.03.2018,5100966230,"£27,472.50",Northwards Housing Limited
Manchester City Council,Housing Revenue Account,I T Provision,12.03.2018,5100965681,"£10,063.46",Northgate Public Services (UK) Ltd
Manchester City Council,Chief Executives,Agency staff provision,12.03.2018,5100965451,"£6,881.39",NonStop Recruitment Ltd
Manchester City Council,Chief Executives,Agency staff provision,12.03.2018,5100966237,"£2,071.10",Michael Page International
Manchester City Council,Chief Executives,Agency staff provision,12.03.2018,5100965258,"£1,287.00",Ashberry Recruitment Ltd
Manchester City Council,Chief Executives,Agency staff provision,12.03.2018,5100966116,£910.00,Liquid Personnel Ltd
Manchester City Council,Chief Executives,Training and Development,12.03.2018,5100965274,£900.00,QA Ltd
Manchester City Council,Chief Executives,Training and Development,12.03.2018,5100965911,"£1,594.20",Coachingworks4me Ltd
Manchester City Council,Chief Executives,Hire of Equipment,12.03.2018,5100965633,"£2,400.00",Universal Live
Manchester City Council,Chief Executives,Hire of Equipment,12.03.2018,5100965394,"£1,348.00",Jigsaw Systems Limited
Manchester City Council,Chief Executives,Hire of Equipment,12.03.2018,5100966184,"£1,119.51",Xerox Finance Ltd
Manchester City Council,Chief Executives,Hire of Equipment,12.03.2018,5100966213,"£1,119.51",Xerox Finance Ltd
Manchester City Council,Chief Executives,Hire of Equipment,12.03.2018,5100965390,£900.00,Jigsaw Systems Limited
Manchester City Council,Chief Executives,Hire of Equipment,12.03.2018,5100966208,"-£1,119.51",Xerox Finance Ltd
Manchester City Council,Chief Executives,Printing,12.03.2018,5100965498,£630.00,Silk Group Ltd
Manchester City Council,Chief Executives,Postage,12.03.2018,5100964827,£675.62,Royal Mail Group Plc
Manchester City Council,Chief Executives,Data Links,12.03.2018,5100962353,"£1,854.54",The Loop t/a Gamma Telecom Ltd
Manchester City Council,Chief Executives,Data Links,12.03.2018,5100962353,£878.46,The Loop t/a Gamma Telecom Ltd
Manchester City Council,Chief Executives,Mobilephone Charges,12.03.2018,1905969563,"£42,527.92",EE / Orange
Manchester City Council,Chief Executives,Mobilephone Charges,12.03.2018,1905969564,"£34,679.34",EE / Orange
Manchester City Council,Chief Executives,Mobilephone Charges,12.03.2018,1905969566,"£23,792.87",EE / Orange
Manchester City Council,Chief Executives,Mobilephone Charges,12.03.2018,1905969565,"£2,548.03",EE / Orange
Manchester City Council,Chief Executives,Mobilephone Charges,12.03.2018,1905969567,£577.00,EE / Orange
Manchester City Council,Chief Executives,I T Provision,12.03.2018,5100965493,£925.00,Jigsaw Systems Limited
Manchester City Council,Chief Executives,I T Provision,12.03.2018,1905965147,"£3,566.98",Vodafone (Ex C&W)
Manchester City Council,Chief Executives,Subsistence and Conference Expenses,12.03.2018,5100966238,"£265,000.00",Marketing Manchester
Manchester City Council,Chief Executives,Grant and subscriptions awarded,12.03.2018,5100966196,"£137,500.00",National Football Museum
Manchester City Council,Chief Executives,Grant and subscriptions awarded,12.03.2018,5100965875,£500.00,Angels of Hope for Women
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,12.03.2018,5100965328,"£8,367.13",Manchester International Festival
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,12.03.2018,5100965826,"£5,350.00",Integra Consulting Engineers Ltd
Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,12.03.2018,5100955433,"£65,254.00",Sap (Uk) Ltd
Manchester City Council,Chief Executives,Compensation Payments,12.03.2018,1905958665,£924.88,Susan McColl & Associates
Manchester City Council,Chief Executives,Compensation Payments,12.03.2018,1905958656,£991.67,Susan McColl & Associates
Manchester City Council,Regeneration Finance,Contract Cleaning External,12.03.2018,5100965468,£885.67,M & M Cleaning Services Ltd
Manchester City Council,Regeneration Finance,Refuse Collection,12.03.2018,5100965668,£680.00,Restore Datashred Limited
Manchester City Council,Regeneration Finance,Security,12.03.2018,5100966195,"£369,414.81",Group 4 Total Security Ltd T/A G4S
Manchester City Council,Regeneration Finance,Storage Costs,12.03.2018,5100965492,"£1,343.28",Data Space Limited
Manchester City Council,Regeneration Finance,Professional fees,12.03.2018,5100965434,"£10,610.55",Turner & Townsend Project
Manchester City Council,Regeneration Finance,Professional fees,12.03.2018,5100965758,"£3,900.00",Strata Consulting Ltd
Manchester City Council,Regeneration Finance,Subsistence and Conference Expenses,12.03.2018,5100965979,"£335,000.00",Marketing Manchester
Manchester City Council,Highways Services,Training - Day Release Fees,12.03.2018,5100965705,£536.00,Ace Safety Academy
Manchester City Council,Highways Services,Training - Day Release Fees,12.03.2018,5100965280,£528.00,Ace Safety Academy
Manchester City Council,Highways Services,Security,12.03.2018,5100966131,"£11,666.67",National Car Parks Ltd Season Ticke
Manchester City Council,Highways Services,Security,12.03.2018,5100966128,"£8,750.00",National Car Parks Ltd Season Ticke
Manchester City Council,Highways Services,Security,12.03.2018,5100966126,"£7,000.00",National Car Parks Ltd Season Ticke
Manchester City Council,Highways Services,Security,12.03.2018,5100965530,"£2,685.00",A T G Access Ltd
Manchester City Council,Highways Services,Building Materials for direct delivery,12.03.2018,5100966254,£900.00,Colas Limited
Manchester City Council,Highways Services,Payments to Sub-Contractors,12.03.2018,5100965338,"£3,100.00",Utilities Design & Planning Ltd
Manchester City Council,Highways Services,Purchase of stores for re-distribution,12.03.2018,5100965888,"£2,080.00",Instarmac Group Ltd
Manchester City Council,Highways Services,Payments to Contractors,12.03.2018,5100966117,"£8,166.67",National Car Parks Ltd Season Ticke
Manchester City Council,GMIST (Greater Mcr Integrated),Equipment,12.03.2018,5100965988,"£8,075.00",County Scientific Services
Manchester City Council,GMIST (Greater Mcr Integrated),Professional fees,12.03.2018,5100965271,£950.00,Stephen Nicol Associates Ltd
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,13.03.2018,5100965938,£910.00,Ashlea Ltd
Manchester City Council,Manchester Leisure,Car Parking Permits,13.03.2018,5100966223,"£1,043.33",National Car Parks Ltd Season Ticke
Manchester City Council,Manchester Leisure,Training and Development,13.03.2018,5100966490,"£1,744.45",Pearson Education Ltd
Manchester City Council,Manchester Leisure,Professional fees,13.03.2018,5100966446,"£3,329.49",Redacted Personal Information
Manchester City Council,Manchester Leisure,Professional fees,13.03.2018,5100966506,"£1,384.92",Footfall
Manchester City Council,Manchester Leisure,Professional fees,13.03.2018,5100966321,£750.00,Andrew Brooks Photography
Manchester City Council,Manchester Leisure,Professional fees,13.03.2018,5100966320,£750.00,Redacted Personal Information
Manchester City Council,Manchester Leisure,Professional fees,13.03.2018,5100966322,£750.00,Redacted Personal Information
Manchester City Council,Manchester Leisure,Compensation Payments,13.03.2018,1905959846,"£15,546.35",McHale & Company Solicitors
Manchester City Council,Manchester Leisure,Special Events,13.03.2018,1905969609,"£2,300.00",Collinge Engineering
Manchester City Council,Manchester Leisure,Special Events,13.03.2018,5100966272,"£1,550.00",Utilities Design & Planning Ltd
Manchester City Council,Manchester Leisure,Payments for services,13.03.2018,5100965198,"£10,448.12",The Fitness Training Academy Ltd
Manchester City Council,Manchester Leisure,Compensation Payments,13.03.2018,1905958658,£665.00,Department For Work & Pensions
Manchester City Council,Manchester Leisure,Compensation Payments,13.03.2018,1905958652,£824.00,McHale and Company Solicitors
Manchester City Council,Manchester Leisure,Compensation Payments,13.03.2018,1905959890,"£1,560.00",McHale & Company Solicitors
Manchester City Council,Hospitality + Trading Services,Security,13.03.2018,5100966367,"£3,569.26",Showsec International Ltd
Manchester City Council,Hospitality + Trading Services,Tyres and Tubes,13.03.2018,5100966210,"£3,019.88",ATS Euromaster Limited
Manchester City Council,Environment and Operations,Construction Works,13.03.2018,5100966282,"£981,189.00",Amey Highways Lighting (Manchester)
Manchester City Council,Environment and Operations,Construction Works,13.03.2018,5100965494,"£82,271.99",J.Hopkins (Contractors) Ltd.
Manchester City Council,Environment and Operations,Construction Works,13.03.2018,5100965495,"£14,475.63",J.Hopkins (Contractors) Ltd.
Manchester City Council,Environment and Operations,Construction Works,13.03.2018,5100965373,"£10,170.71",Bethell Construction Ltd
Manchester City Council,Environment and Operations,Construction Works,13.03.2018,5100965958,"£5,400.00",Gaist Solutions Ltd
Manchester City Council,Environment and Operations,Construction Works,13.03.2018,5100965371,"£4,345.37",Bethell Construction Ltd
Manchester City Council,Environment and Operations,Construction Works,13.03.2018,5100965712,"£2,230.70",Dowhigh Ltd
Manchester City Council,Environment and Operations,Construction Works,13.03.2018,5100965749,"£1,705.83",Dowhigh Ltd
Manchester City Council,Environment and Operations,Construction Works,13.03.2018,5100965696,"£1,230.17",Dowhigh Ltd
Manchester City Council,Environment and Operations,Construction Works,13.03.2018,5100965743,"£1,131.75",Dowhigh Ltd
Manchester City Council,Environment and Operations,Construction Works,13.03.2018,5100965718,£820.11,Dowhigh Ltd
Manchester City Council,Environment and Operations,Construction Works,13.03.2018,5100965725,£754.50,Dowhigh Ltd
Manchester City Council,Environment and Operations,Construction Works,13.03.2018,5100965745,£754.50,Dowhigh Ltd
Manchester City Council,Environment and Operations,Construction Works,13.03.2018,5100965741,£590.48,Dowhigh Ltd
Manchester City Council,Environment and Operations,Construction Works,13.03.2018,5100965746,£590.48,Dowhigh Ltd
Manchester City Council,Environment and Operations,Construction Works,13.03.2018,5100965730,£574.08,Dowhigh Ltd
Manchester City Council,Environment and Operations,Construction Works,13.03.2018,5100965723,£557.68,Dowhigh Ltd
Manchester City Council,Adult Social Care,Rents,13.03.2018,5100966345,"£30,224.84",M & Q Properties Management Ltd
Manchester City Council,Adult Social Care,Rents,13.03.2018,5100966465,"£28,376.77",United Property Management Ltd
Manchester City Council,Adult Social Care,Rents,13.03.2018,1905964260,£750.00,Total Property Management
Manchester City Council,Adult Social Care,Cleaning Equipment and Materials,13.03.2018,5100953409,"£3,107.10",Initial Medical Services
Manchester City Council,Adult Social Care,Transport Coach Hire,13.03.2018,5100966512,"£3,164.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Transport Coach Hire,13.03.2018,5100966066,"£1,650.00",Hastings Private Hire
Manchester City Council,Adult Social Care,Transport Coach Hire,13.03.2018,5100966057,"£1,540.00",Hastings Private Hire
Manchester City Council,Adult Social Care,Transport Coach Hire,13.03.2018,5100966050,"£1,400.00",Hastings Private Hire
Manchester City Council,Adult Social Care,Transport Coach Hire,13.03.2018,5100965264,"£1,330.00",T/A Beresford Travel
Manchester City Council,Adult Social Care,Transport Coach Hire,13.03.2018,5100966064,"£1,275.00",Hastings Private Hire
Manchester City Council,Adult Social Care,Transport Coach Hire,13.03.2018,5100966054,£975.00,Hastings Private Hire
Manchester City Council,Adult Social Care,Transport Coach Hire,13.03.2018,5100966051,£913.50,Hastings Private Hire
Manchester City Council,Adult Social Care,Transport Coach Hire,13.03.2018,5100966443,£910.00,Hastings Private Hire
Manchester City Council,Adult Social Care,Transport Coach Hire,13.03.2018,5100966293,"-£3,733.00",Connect Cars Ltd
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",13.03.2018,5100958568,£720.00,Talley Environmental Care Ltd
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",13.03.2018,5100966176,£537.00,Camilla Carpets Ltd
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",13.03.2018,5100966310,-£720.00,Talley Environmental Care Ltd
Manchester City Council,Adult Social Care,Professional fees,13.03.2018,5100966319,"£8,668.60",Redacted Personal Information
Manchester City Council,Adult Social Care,Professional fees,13.03.2018,5100966316,"£8,142.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Professional fees,13.03.2018,5100966315,"£2,100.00",JBS-R Associates
Manchester City Council,Adult Social Care,Professional fees,13.03.2018,5100966482,"£1,250.00",JBS-R Associates
Manchester City Council,Adult Social Care,Professional fees,13.03.2018,5100966356,"£1,000.00",JBS-R Associates
Manchester City Council,Adult Social Care,Professional fees,13.03.2018,5100966318,-£794.29,Cushman & Wakefield
Manchester City Council,Adult Social Care,Compensation Payments,13.03.2018,1905967602,"£4,242.94",Redacted Personal Information
Manchester City Council,Adult Social Care,Subsistence and Conference Expenses,13.03.2018,5100966514,£750.00,Inclusive Choice
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,13.03.2018,5100966365,"£16,179.00",G & A Taylor Hotels Ltd
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,13.03.2018,5100966451,"£5,361.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,13.03.2018,5100966269,"£30,363.25",The Booth Centre
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,13.03.2018,5100966274,"£18,099.50",DISC Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,13.03.2018,5100966363,"£1,376.00",The Lesbian & Gay Foundation
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,13.03.2018,5100966447,"£1,092.00",Longsight (Aisha) Nursery
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,13.03.2018,5100966456,"£1,062.09",MCCR
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,13.03.2018,5100966450,"£1,059.79",Indian Senior Citizens Centre
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,13.03.2018,5100966347,£947.19,MCCR
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,13.03.2018,5100966362,£675.00,The Lesbian & Gay Foundation
Manchester City Council,Adult Social Care,Payments for services,13.03.2018,5100966532,"£56,666.60",The Together Trust
Manchester City Council,Adult Social Care,Payments for services,13.03.2018,5100966533,"£43,333.20",The Together Trust
Manchester City Council,Adult Social Care,Payments for services,13.03.2018,5100966530,"£25,242.82",The Together Trust
Manchester City Council,Adult Social Care,Payments for services,13.03.2018,5100966535,"£9,776.00",Time Specialist Support Ltd
Manchester City Council,Adult Social Care,Payments for services,13.03.2018,5100966341,"£9,118.00",St John Vianney School
Manchester City Council,Adult Social Care,Payments for services,13.03.2018,5100966531,"£3,613.95",The Together Trust
Manchester City Council,Adult Social Care,Payments for services,13.03.2018,5100966336,"£1,606.20",The Together Trust
Manchester City Council,Adult Social Care,Payments for services,13.03.2018,5100966339,"£1,204.65",The Together Trust
Manchester City Council,Adult Social Care,Payments for services,13.03.2018,5100966340,£725.00,The Together Trust
Manchester City Council,Adult Social Care,Supporting People Payments,13.03.2018,5100966275,"£116,332.16",Creative Support Ltd
Manchester City Council,Adult Social Care,Supporting People Payments,13.03.2018,5100966279,"£11,407.94",DISC Ltd
Manchester City Council,Adult Social Care,Supporting People Payments,13.03.2018,5100927560,"£3,547.50",The Guinness Partnership Ltd
Manchester City Council,Adult Social Care,Supporting People Payments,13.03.2018,5100966277,"£3,200.33",DISC Ltd
Manchester City Council,Adult Social Care,Supporting People Payments,13.03.2018,5100927571,"£2,710.65",The Guinness Partnership Ltd
Manchester City Council,Adult Social Care,Supporting People Payments,13.03.2018,5100927554,"£2,385.42",The Guinness Partnership Ltd
Manchester City Council,Adult Social Care,Supporting People Payments,13.03.2018,5100927560,"£1,899.44",The Guinness Partnership Ltd
Manchester City Council,Adult Social Care,Supporting People Payments,13.03.2018,5100927571,"£1,668.48",The Guinness Partnership Ltd
Manchester City Council,Adult Social Care,Supporting People Payments,13.03.2018,5100927554,"£1,626.10",The Guinness Partnership Ltd
Manchester City Council,Adult Social Care,Supporting People Payments,13.03.2018,5100927554,"£1,435.42",The Guinness Partnership Ltd
Manchester City Council,Adult Social Care,Supporting People Payments,13.03.2018,5100927571,"£1,067.81",The Guinness Partnership Ltd
Manchester City Council,Adult Social Care,Foster Payments,13.03.2018,1905969829,"£2,440.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Foster Payments,13.03.2018,1905969830,"£1,078.00",Redacted Personal Information
Manchester City Council,Corporate Services,Training and Development,13.03.2018,5100966327,"£1,434.50",Intelligence Business Solutions
Manchester City Council,Corporate Services,Cleaning Equipment,13.03.2018,5100963225,£643.90,Airborne Environmental Consultants
Manchester City Council,Corporate Services,Storage Costs,13.03.2018,5100965990,"£6,950.00",Box-It (NW)
Manchester City Council,Corporate Services,Travel,13.03.2018,1905967589,"£20,007.65",Trainline.com Limited
Manchester City Council,Corporate Services,Grant Payments,13.03.2018,5100966352,"£1,050.00",digitalenergy Ltd
Manchester City Council,Corporate Services,Professional fees,13.03.2018,5100965290,"£10,094.07",Mott Macdonald Uk Limited
Manchester City Council,Corporate Services,Professional fees,13.03.2018,5100965398,"£8,855.92",Arcadis LLP
Manchester City Council,Corporate Services,Professional fees,13.03.2018,5100965383,"£5,185.29",Faithful & Gould Ltd
Manchester City Council,Corporate Services,Professional fees,13.03.2018,5100965667,"£3,511.00",Airborne Environmental Consultants
Manchester City Council,Corporate Services,Professional fees,13.03.2018,5100965242,"£3,274.00",Curtins Consulting Ltd
Manchester City Council,Corporate Services,Professional fees,13.03.2018,5100965722,"£2,190.00",Keelagher Okey Associates Ltd t/a
Manchester City Council,Corporate Services,Professional fees,13.03.2018,5100966020,"£1,781.10",Mott Macdonald Uk Limited
Manchester City Council,Corporate Services,Professional fees,13.03.2018,5100965392,"£1,189.07",Faithful & Gould Ltd
Manchester City Council,Corporate Services,Professional fees,13.03.2018,5100965474,£750.00,Edmond Shipway
Manchester City Council,Corporate Services,Professional fees,13.03.2018,5100966452,"-£1,229.59",Turner & Townsend Project
Manchester City Council,Corporate Services,Professional fees,13.03.2018,5100966461,"-£1,781.10",Mott Macdonald Uk Limited
Manchester City Council,Corporate Services,Professional fees,13.03.2018,5100966462,"-£10,094.07",Mott Macdonald Uk Limited
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,13.03.2018,5100966301,"£2,906.00",Ove Arup & Partners Ltd
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,13.03.2018,5100966265,"£1,000.00",Integra Consulting Engineers Ltd
Manchester City Council,Housing General Fund,Building Works,13.03.2018,5100966501,"£132,630.47",Southway Housing Trust
Manchester City Council,Housing General Fund,Building Works,13.03.2018,5100966501,"£11,612.89",Southway Housing Trust
Manchester City Council,Housing Revenue Account,Legal Fees,13.03.2018,1905950030,"£7,359.20",Redacted Personal Information
Manchester City Council,Chief Executives,Agency staff provision,13.03.2018,5100966505,"£10,470.40",Hamptons Resourcing Limited
Manchester City Council,Chief Executives,Agency staff provision,13.03.2018,5100966463,"£10,237.50",Sanctuary Social Care
Manchester City Council,Chief Executives,Agency staff provision,13.03.2018,5100966453,"£5,125.00",Medicare First
Manchester City Council,Chief Executives,Professional fees,13.03.2018,5100966270,"£16,200.00",Apadmi Limited
Manchester City Council,Chief Executives,Professional fees,13.03.2018,5100966271,"£8,500.00",Anwar Solutions Ltd
Manchester City Council,Chief Executives,Compensation Payments,13.03.2018,1905969577,£500.00,Matrix Solicitors
Manchester City Council,Chief Executives,Advertising,13.03.2018,5100966507,"£19,309.74",Trinity Mirror NW2 Ltd
Manchester City Council,Chief Executives,Advertising,13.03.2018,5100966507,"£5,826.26",Trinity Mirror NW2 Ltd
Manchester City Council,Chief Executives,Advertising,13.03.2018,5100966472,"£1,727.42",Global Radio Services Ltd
Manchester City Council,Chief Executives,Compensation Payments,13.03.2018,1905969395,"£1,200.00",Matrix Solicitors
Manchester City Council,Regeneration Finance,Internal Repairs and Maintenance for buildings,13.03.2018,5100966467,"£1,781.10",Airborne Environmental Consultants
Manchester City Council,Regeneration Finance,Internal Repairs and Maintenance for buildings,13.03.2018,5100966470,"-£1,781.10",Airborne Environmental Consultants
Manchester City Council,Regeneration Finance,Contract Cleaning External,13.03.2018,5100965469,"£1,776.88",M & M Cleaning Services Ltd
Manchester City Council,Regeneration Finance,General Office expenses,13.03.2018,5100966300,"£3,759.60",Ove Arup & Partners Ltd
Manchester City Council,Regeneration Finance,Legal Fees,13.03.2018,5100966366,"£7,726.45",11KBW
Manchester City Council,Highways Services,Training - Day Release Fees,13.03.2018,5100951227,"£1,400.00",Veritas Safety Management Ltd
Manchester City Council,Highways Services,Payments to Sub-Contractors,13.03.2018,5100965754,"-£6,824.97",Dowhigh Ltd
Manchester City Council,GMIST (Greater Mcr Integrated),Storage Costs,13.03.2018,5100966495,"£2,868.33",DeepStore
Manchester City Council,GMIST (Greater Mcr Integrated),Storage Costs,13.03.2018,5100966496,£672.59,DeepStore
Manchester City Council,Manchester Leisure,Training and Development,14.03.2018,5100966731,£800.00,Ideas4learning Ltd
Manchester City Council,Manchester Leisure,Contract Cleaning External,14.03.2018,5100966602,"£1,845.00",Clearview Event Services Limited
Manchester City Council,Manchester Leisure,Contract Cleaning External,14.03.2018,5100966605,£556.60,Clearview Event Services Limited
Manchester City Council,Manchester Leisure,Equipment,14.03.2018,5100966552,£607.85,Ludus Leisure Ltd
